Model,Configuration,Accuracy,F1-Score,Sensitivity,Specificity
COMBINED,Task_01-Task_02_prova2,0.814 ± 0.000,0.815 ± 0.000,0.815 ± 0.000,0.814 ± 0.000
multimodal_text_bert-base-italian-xxl-cased,Task_01,0.814 ± 0.000,0.815 ± 0.000,0.826 ± 0.000,0.804 ± 0.000
multimodal_text_bert-base-italian-xxl-cased,PATIENT_OR_VOTING (T1+T2),0.804 ± 0.000,0.802 ± 0.000,0.935 ± 0.000,0.686 ± 0.000
multimodal_text_bert-base-italian-xxl-cased,Task_02,0.794 ± 0.000,0.793 ± 0.000,0.739 ± 0.000,0.843 ± 0.000
Task_01,Combined/Ensemble,0.784 ± 0.000,0.783 ± 0.000,0.761 ± 0.000,0.804 ± 0.000
multimodal_text_umberto-commoncrawl-cased-v1,Task_02,0.784 ± 0.000,0.783 ± 0.000,0.761 ± 0.000,0.804 ± 0.000
multimodal_text_umberto-commoncrawl-cased-v1,Task_01,0.784 ± 0.000,0.783 ± 0.000,0.739 ± 0.000,0.824 ± 0.000
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3,Task_01,0.773 ± 0.000,0.772 ± 0.000,0.717 ± 0.000,0.824 ± 0.000
multimodal_text_umberto-commoncrawl-cased-v1,PATIENT_OR_VOTING (T1+T2),0.773 ± 0.000,0.773 ± 0.000,0.848 ± 0.000,0.706 ± 0.000
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3,Task_02,0.773 ± 0.000,0.773 ± 0.000,0.783 ± 0.000,0.765 ± 0.000
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3,PATIENT_OR_VOTING (T1+T2),0.763 ± 0.000,0.758 ± 0.000,0.935 ± 0.000,0.608 ± 0.000
Task_04,Combined/Ensemble,0.760 ± 0.000,0.761 ± 0.000,0.756 ± 0.000,0.765 ± 0.000
COMBINED,Task_01-Task_02_prova1,0.758 ± 0.000,0.757 ± 0.000,0.717 ± 0.000,0.794 ± 0.000
Task_06,Combined/Ensemble,0.729 ± 0.000,0.729 ± 0.000,0.756 ± 0.000,0.706 ± 0.000
Task_07,Combined/Ensemble,0.719 ± 0.000,0.719 ± 0.000,0.733 ± 0.000,0.706 ± 0.000
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3,Task_05,0.711 ± 0.000,0.705 ± 0.000,0.565 ± 0.000,0.843 ± 0.000
multimodal_text_umberto-commoncrawl-cased-v1,Task_03,0.711 ± 0.000,0.710 ± 0.000,0.652 ± 0.000,0.765 ± 0.000
Task_06,Combined/Ensemble,0.708 ± 0.000,0.703 ± 0.000,0.578 ± 0.000,0.824 ± 0.000
Task_06,Combined/Ensemble,0.708 ± 0.000,0.701 ± 0.000,0.556 ± 0.000,0.843 ± 0.000
Task_07,Combined/Ensemble,0.708 ± 0.000,0.707 ± 0.000,0.644 ± 0.000,0.765 ± 0.000
Task_01,Combined/Ensemble,0.701 ± 0.000,0.699 ± 0.000,0.630 ± 0.000,0.765 ± 0.000
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3,Task_03,0.701 ± 0.000,0.698 ± 0.000,0.609 ± 0.000,0.784 ± 0.000
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3,Task_06,0.701 ± 0.000,0.699 ± 0.000,0.630 ± 0.000,0.765 ± 0.000
