Task,Model,Acc,F1,Sens,Spec,Prec
T01,LogReg + Whisper-v3,0.78 ± 0.08,0.78 ± 0.09,0.76 ± 0.19,0.80 ± 0.06,0.80 ± 0.08
T04,SVM + Whisper-v3,0.76 ± 0.05,0.76 ± 0.05,0.75 ± 0.09,0.76 ± 0.05,0.76 ± 0.06
T06,LogReg + eGeMAPS,0.73 ± 0.07,0.73 ± 0.07,0.75 ± 0.05,0.70 ± 0.09,0.73 ± 0.06
T07,SVM + Whisper-v3,0.72 ± 0.12,0.72 ± 0.12,0.73 ± 0.09,0.71 ± 0.22,0.74 ± 0.12
T07,LogReg + Whisper-v3,0.71 ± 0.10,0.71 ± 0.11,0.65 ± 0.13,0.76 ± 0.15,0.71 ± 0.10
T06,XGBoost + Whisper-v3,0.71 ± 0.05,0.70 ± 0.05,0.58 ± 0.11,0.82 ± 0.04,0.72 ± 0.04
T06,LogReg + Whisper-v3,0.71 ± 0.08,0.70 ± 0.08,0.55 ± 0.13,0.84 ± 0.10,0.72 ± 0.08
T01,SVM + Whisper-v3,0.70 ± 0.12,0.67 ± 0.17,0.63 ± 0.37,0.76 ± 0.14,0.67 ± 0.21
T02,LogReg + Whisper-v3,0.68 ± 0.04,0.68 ± 0.04,0.63 ± 0.06,0.72 ± 0.10,0.68 ± 0.05
T02,XGBoost + Whisper-v3,0.68 ± 0.06,0.67 ± 0.05,0.58 ± 0.09,0.76 ± 0.10,0.69 ± 0.06
T04,LogReg + Whisper-v3,0.68 ± 0.04,0.67 ± 0.04,0.57 ± 0.10,0.76 ± 0.08,0.68 ± 0.04
T04,XGBoost + eGeMAPS,0.68 ± 0.08,0.67 ± 0.08,0.58 ± 0.09,0.76 ± 0.08,0.68 ± 0.08
T01,XGBoost + Whisper-v3,0.67 ± 0.03,0.67 ± 0.03,0.67 ± 0.13,0.67 ± 0.10,0.68 ± 0.02
T06,SVM + Whisper-v3,0.67 ± 0.07,0.63 ± 0.12,0.46 ± 0.24,0.84 ± 0.14,0.63 ± 0.17
T04,LogReg + eGeMAPS,0.67 ± 0.12,0.66 ± 0.12,0.64 ± 0.17,0.69 ± 0.14,0.67 ± 0.12
T05,XGBoost + Whisper-v3,0.67 ± 0.03,0.66 ± 0.04,0.59 ± 0.12,0.73 ± 0.07,0.67 ± 0.03
T01,LogReg + eGeMAPS,0.66 ± 0.10,0.66 ± 0.09,0.61 ± 0.11,0.71 ± 0.17,0.68 ± 0.11
T06,SVM + eGeMAPS,0.66 ± 0.09,0.62 ± 0.14,0.53 ± 0.28,0.77 ± 0.14,0.61 ± 0.18
T06,XGBoost + eGeMAPS,0.65 ± 0.09,0.65 ± 0.09,0.60 ± 0.10,0.71 ± 0.11,0.66 ± 0.09
T07,XGBoost + Whisper-v3,0.65 ± 0.12,0.64 ± 0.12,0.51 ± 0.12,0.77 ± 0.13,0.65 ± 0.13
T02,SVM + Whisper-v3,0.64 ± 0.08,0.60 ± 0.14,0.53 ± 0.28,0.74 ± 0.15,0.59 ± 0.18
T03,XGBoost + Whisper-v3,0.63 ± 0.08,0.63 ± 0.08,0.54 ± 0.05,0.71 ± 0.13,0.64 ± 0.09
T01,XGBoost + eGeMAPS,0.63 ± 0.06,0.62 ± 0.06,0.55 ± 0.09,0.71 ± 0.17,0.65 ± 0.07
T03,LogReg + Whisper-v3,0.62 ± 0.11,0.62 ± 0.10,0.59 ± 0.11,0.65 ± 0.17,0.63 ± 0.11
T07,LogReg + eGeMAPS,0.62 ± 0.10,0.61 ± 0.11,0.67 ± 0.23,0.57 ± 0.12,0.63 ± 0.11
T05,LogReg + Whisper-v3,0.61 ± 0.02,0.60 ± 0.02,0.42 ± 0.10,0.78 ± 0.10,0.62 ± 0.03
T04,XGBoost + Whisper-v3,0.61 ± 0.09,0.60 ± 0.09,0.59 ± 0.21,0.63 ± 0.21,0.63 ± 0.09
T04,SVM + eGeMAPS,0.61 ± 0.08,0.55 ± 0.15,0.37 ± 0.33,0.82 ± 0.16,0.52 ± 0.19
T07,XGBoost + eGeMAPS,0.61 ± 0.06,0.60 ± 0.06,0.54 ± 0.06,0.67 ± 0.12,0.61 ± 0.06
T05,XGBoost + eGeMAPS,0.60 ± 0.09,0.59 ± 0.09,0.59 ± 0.21,0.61 ± 0.11,0.61 ± 0.10
T05,LogReg + eGeMAPS,0.59 ± 0.08,0.59 ± 0.10,0.54 ± 0.19,0.65 ± 0.08,0.59 ± 0.09
T05,SVM + Whisper-v3,0.58 ± 0.05,0.51 ± 0.12,0.29 ± 0.28,0.84 ± 0.16,0.49 ± 0.17
T07,SVM + eGeMAPS,0.56 ± 0.08,0.51 ± 0.13,0.63 ± 0.27,0.51 ± 0.32,0.52 ± 0.18
T03,LogReg + eGeMAPS,0.56 ± 0.08,0.55 ± 0.08,0.52 ± 0.14,0.59 ± 0.13,0.56 ± 0.08
T01,SVM + eGeMAPS,0.55 ± 0.10,0.45 ± 0.16,0.59 ± 0.38,0.52 ± 0.45,0.42 ± 0.23
T02,XGBoost + eGeMAPS,0.55 ± 0.06,0.54 ± 0.07,0.50 ± 0.15,0.59 ± 0.15,0.55 ± 0.07
T03,XGBoost + eGeMAPS,0.54 ± 0.11,0.53 ± 0.10,0.48 ± 0.08,0.59 ± 0.23,0.55 ± 0.12
T02,LogReg + eGeMAPS,0.54 ± 0.09,0.53 ± 0.09,0.54 ± 0.18,0.53 ± 0.09,0.54 ± 0.09
T05,SVM + eGeMAPS,0.51 ± 0.04,0.34 ± 0.04,0.20 ± 0.40,0.80 ± 0.40,0.26 ± 0.04
T02,SVM + eGeMAPS,0.49 ± 0.03,0.36 ± 0.08,0.68 ± 0.41,0.32 ± 0.41,0.30 ± 0.11
T03,SVM + eGeMAPS,0.45 ± 0.05,0.35 ± 0.05,0.51 ± 0.41,0.41 ± 0.39,0.30 ± 0.09
T03,SVM + Whisper-v3,0.38 ± 0.12,0.30 ± 0.05,0.22 ± 0.21,0.52 ± 0.40,0.27 ± 0.02
