Category,Model,Acc,F1,Sens,Spec,Prec
FUSION,Multimodal (SOTA),0.81 ± 0.06,0.80 ± 0.07,0.94 ± 0.06,0.68 ± 0.12,0.84 ± 0.05
FUSION,Multimodal (BERT-IT),0.71 ± 0.09,0.71 ± 0.09,0.63 ± 0.11,0.79 ± 0.17,0.74 ± 0.10
FUSION,Multimodal (UmBERTo),0.71 ± 0.06,0.70 ± 0.06,0.68 ± 0.14,0.73 ± 0.12,0.73 ± 0.07
TEXTUAL,UmBERTo,0.71 ± 0.06,0.70 ± 0.07,0.65 ± 0.15,0.76 ± 0.14,0.73 ± 0.08
ACOUSTIC,LogReg + Whisper-v3,0.68 ± 0.07,0.68 ± 0.07,0.59 ± 0.12,0.76 ± 0.11,0.69 ± 0.07
ACOUSTIC,XGBoost + Whisper-v3,0.66 ± 0.06,0.65 ± 0.07,0.58 ± 0.12,0.73 ± 0.11,0.67 ± 0.07
ACOUSTIC,SVM + Whisper-v3,0.64 ± 0.09,0.60 ± 0.11,0.52 ± 0.22,0.74 ± 0.18,0.59 ± 0.13
ACOUSTIC,LogReg + eGeMAPS,0.62 ± 0.09,0.62 ± 0.09,0.61 ± 0.16,0.63 ± 0.12,0.63 ± 0.10
ACOUSTIC,XGBoost + eGeMAPS,0.61 ± 0.08,0.60 ± 0.08,0.55 ± 0.11,0.66 ± 0.14,0.61 ± 0.09
ACOUSTIC,SVM + eGeMAPS,0.55 ± 0.07,0.45 ± 0.11,0.50 ± 0.35,0.59 ± 0.33,0.42 ± 0.14
