Model,Accuracy,F1-Score,Sensitivity,Specificity
Task_01,0.784 ± 0.081,0.780 ± 0.086,0.762 ± 0.189,0.804 ± 0.064
Task_04,0.760 ± 0.054,0.759 ± 0.054,0.754 ± 0.088,0.764 ± 0.052
Task_06,0.727 ± 0.069,0.727 ± 0.069,0.754 ± 0.047,0.704 ± 0.094
Task_07,0.723 ± 0.119,0.717 ± 0.122,0.732 ± 0.090,0.709 ± 0.221
Task_07,0.711 ± 0.104,0.707 ± 0.107,0.646 ± 0.126,0.764 ± 0.151
Task_06,0.708 ± 0.045,0.700 ± 0.051,0.576 ± 0.110,0.824 ± 0.039
Task_06,0.706 ± 0.075,0.696 ± 0.082,0.551 ± 0.131,0.840 ± 0.102
Task_01,0.703 ± 0.123,0.669 ± 0.169,0.631 ± 0.368,0.760 ± 0.136
Task_02,0.679 ± 0.045,0.677 ± 0.042,0.629 ± 0.061,0.722 ± 0.101
Task_02,0.679 ± 0.056,0.674 ± 0.055,0.584 ± 0.091,0.762 ± 0.105
Task_04,0.677 ± 0.037,0.671 ± 0.040,0.573 ± 0.097,0.764 ± 0.082
Task_04,0.676 ± 0.081,0.672 ± 0.082,0.576 ± 0.090,0.764 ± 0.082
Task_01,0.670 ± 0.025,0.665 ± 0.030,0.671 ± 0.126,0.665 ± 0.105
Task_06,0.669 ± 0.067,0.631 ± 0.123,0.462 ± 0.240,0.840 ± 0.136
Task_04,0.666 ± 0.119,0.662 ± 0.120,0.638 ± 0.175,0.687 ± 0.144
Task_05,0.666 ± 0.032,0.661 ± 0.038,0.593 ± 0.119,0.725 ± 0.074
Task_01,0.660 ± 0.097,0.657 ± 0.094,0.609 ± 0.111,0.709 ± 0.169
Task_06,0.655 ± 0.091,0.622 ± 0.145,0.532 ± 0.284,0.767 ± 0.142
Task_06,0.654 ± 0.093,0.652 ± 0.094,0.596 ± 0.103,0.705 ± 0.110
Task_07,0.648 ± 0.118,0.642 ± 0.120,0.514 ± 0.121,0.767 ± 0.128
Task_02,0.639 ± 0.082,0.605 ± 0.143,0.533 ± 0.276,0.744 ± 0.151
Task_03,0.631 ± 0.080,0.627 ± 0.077,0.542 ± 0.052,0.709 ± 0.129
Task_01,0.629 ± 0.065,0.622 ± 0.061,0.547 ± 0.085,0.709 ± 0.169
Task_03,0.621 ± 0.106,0.618 ± 0.102,0.587 ± 0.109,0.651 ± 0.172
Task_07,0.617 ± 0.097,0.605 ± 0.107,0.668 ± 0.233,0.571 ± 0.124
Task_05,0.614 ± 0.025,0.596 ± 0.023,0.417 ± 0.100,0.782 ± 0.100
Task_04,0.614 ± 0.086,0.598 ± 0.093,0.588 ± 0.211,0.633 ± 0.215
Task_04,0.614 ± 0.078,0.547 ± 0.148,0.374 ± 0.325,0.820 ± 0.160
Task_07,0.605 ± 0.060,0.602 ± 0.058,0.536 ± 0.061,0.667 ± 0.117
Task_05,0.595 ± 0.091,0.587 ± 0.095,0.591 ± 0.211,0.605 ± 0.115
Task_05,0.594 ± 0.084,0.585 ± 0.096,0.540 ± 0.195,0.645 ± 0.085
Task_05,0.584 ± 0.048,0.508 ± 0.117,0.289 ± 0.276,0.840 ± 0.162
Task_07,0.561 ± 0.080,0.510 ± 0.132,0.627 ± 0.271,0.511 ± 0.320
Task_03,0.558 ± 0.076,0.551 ± 0.077,0.518 ± 0.142,0.591 ± 0.135
Task_01,0.555 ± 0.102,0.451 ± 0.162,0.589 ± 0.378,0.520 ± 0.449
Task_02,0.546 ± 0.063,0.536 ± 0.069,0.500 ± 0.149,0.593 ± 0.152
Task_03,0.538 ± 0.107,0.529 ± 0.104,0.478 ± 0.083,0.593 ± 0.226
Task_02,0.536 ± 0.088,0.531 ± 0.088,0.540 ± 0.183,0.531 ± 0.086
Task_05,0.509 ± 0.036,0.345 ± 0.040,0.200 ± 0.400,0.800 ± 0.400
Task_02,0.494 ± 0.030,0.360 ± 0.075,0.680 ± 0.412,0.320 ± 0.412
Task_03,0.454 ± 0.053,0.347 ± 0.051,0.511 ± 0.413,0.413 ± 0.393
Task_03,0.378 ± 0.122,0.304 ± 0.051,0.222 ± 0.211,0.520 ± 0.397
