Model,Config,Accuracy,F1-Score,Recall (Sens),Specificity,Folds
COMBINED_Task_01-Task_02_prova2,TRIAGE (T=0.35),0.651 ± 0.067,0.605 ± 0.103,0.978 ± 0.044,0.355 ± 0.165,5
COMBINED_Task_01-Task_02_prova2,Standard (T=0.5),0.835 ± 0.038,0.832 ± 0.039,0.978 ± 0.044,0.705 ± 0.064,5
multimodal_text_bert-base-italian-xxl-cased_Task_01,Standard (T=0.5),0.814 ± 0.086,0.812 ± 0.086,0.829 ± 0.126,0.804 ± 0.142,5
multimodal_text_bert-base-italian-xxl-cased_Task_02,Standard (T=0.5),0.792 ± 0.106,0.787 ± 0.109,0.742 ± 0.141,0.840 ± 0.185,5
Task_01,Standard (T=0.5),0.784 ± 0.081,0.780 ± 0.086,0.762 ± 0.189,0.804 ± 0.064,5
multimodal_text_umberto-commoncrawl-cased-v1_Task_01,Standard (T=0.5),0.783 ± 0.054,0.780 ± 0.055,0.738 ± 0.115,0.820 ± 0.098,5
multimodal_text_umberto-commoncrawl-cased-v1_Task_02,Standard (T=0.5),0.782 ± 0.072,0.782 ± 0.072,0.760 ± 0.085,0.802 ± 0.066,5
COMBINED_Task_01-Task_02_prova1,Standard (T=0.5),0.782 ± 0.086,0.775 ± 0.093,0.911 ± 0.083,0.662 ± 0.177,5
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_02,Standard (T=0.5),0.773 ± 0.070,0.770 ± 0.072,0.784 ± 0.093,0.762 ± 0.151,5
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_01,Standard (T=0.5),0.773 ± 0.044,0.772 ± 0.044,0.718 ± 0.050,0.824 ± 0.074,5
Task_04,Standard (T=0.5),0.760 ± 0.054,0.759 ± 0.054,0.754 ± 0.088,0.764 ± 0.052,5
Task_06,Standard (T=0.5),0.727 ± 0.069,0.727 ± 0.069,0.754 ± 0.047,0.704 ± 0.094,5
Task_07,Standard (T=0.5),0.723 ± 0.119,0.717 ± 0.122,0.732 ± 0.090,0.709 ± 0.221,5
Task_07,Standard (T=0.5),0.711 ± 0.104,0.707 ± 0.107,0.646 ± 0.126,0.764 ± 0.151,5
multimodal_text_umberto-commoncrawl-cased-v1_Task_03,Standard (T=0.5),0.711 ± 0.027,0.701 ± 0.032,0.658 ± 0.170,0.765 ± 0.173,5
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_05,Standard (T=0.5),0.711 ± 0.099,0.700 ± 0.105,0.569 ± 0.171,0.842 ± 0.121,5
Task_06,Standard (T=0.5),0.708 ± 0.045,0.700 ± 0.051,0.576 ± 0.110,0.824 ± 0.039,5
Task_06,Standard (T=0.5),0.706 ± 0.075,0.696 ± 0.082,0.551 ± 0.131,0.840 ± 0.102,5
Task_01,Standard (T=0.5),0.703 ± 0.123,0.669 ± 0.169,0.631 ± 0.368,0.760 ± 0.136,5
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_03,Standard (T=0.5),0.702 ± 0.065,0.694 ± 0.064,0.607 ± 0.095,0.784 ± 0.173,5
multimodal_text_umberto-commoncrawl-cased-v1_Task_04,Standard (T=0.5),0.701 ± 0.051,0.689 ± 0.061,0.611 ± 0.199,0.789 ± 0.130,5
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_06,Standard (T=0.5),0.700 ± 0.045,0.695 ± 0.047,0.629 ± 0.117,0.762 ± 0.105,5
multimodal_text_umberto-commoncrawl-cased-v1_Task_05,Standard (T=0.5),0.699 ± 0.080,0.693 ± 0.081,0.613 ± 0.128,0.782 ± 0.148,5
multimodal_text_umberto-commoncrawl-cased-v1_Task_06,Standard (T=0.5),0.691 ± 0.034,0.689 ± 0.034,0.718 ± 0.111,0.665 ± 0.054,5
multimodal_text_bert-base-italian-xxl-cased_Task_04,Standard (T=0.5),0.680 ± 0.106,0.673 ± 0.103,0.609 ± 0.086,0.751 ± 0.235,5
Task_02,Standard (T=0.5),0.679 ± 0.045,0.677 ± 0.042,0.629 ± 0.061,0.722 ± 0.101,5
Task_02,Standard (T=0.5),0.679 ± 0.056,0.674 ± 0.055,0.584 ± 0.091,0.762 ± 0.105,5
Task_04,Standard (T=0.5),0.677 ± 0.037,0.671 ± 0.040,0.573 ± 0.097,0.764 ± 0.082,5
Task_04,Standard (T=0.5),0.676 ± 0.081,0.672 ± 0.082,0.576 ± 0.090,0.764 ± 0.082,5
Task_01,Standard (T=0.5),0.670 ± 0.025,0.665 ± 0.030,0.671 ± 0.126,0.665 ± 0.105,5
Task_06,Standard (T=0.5),0.669 ± 0.067,0.631 ± 0.123,0.462 ± 0.240,0.840 ± 0.136,5
Task_04,Standard (T=0.5),0.666 ± 0.119,0.662 ± 0.120,0.638 ± 0.175,0.687 ± 0.144,5
Task_05,Standard (T=0.5),0.666 ± 0.032,0.661 ± 0.038,0.593 ± 0.119,0.725 ± 0.074,5
Task_01,Standard (T=0.5),0.660 ± 0.097,0.657 ± 0.094,0.609 ± 0.111,0.709 ± 0.169,5
multimodal_text_bert-base-italian-xxl-cased_Task_05,Standard (T=0.5),0.659 ± 0.095,0.648 ± 0.096,0.502 ± 0.120,0.800 ± 0.141,5
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_04,Standard (T=0.5),0.659 ± 0.028,0.651 ± 0.035,0.653 ± 0.188,0.669 ± 0.126,5
Task_06,Standard (T=0.5),0.655 ± 0.091,0.622 ± 0.145,0.532 ± 0.284,0.767 ± 0.142,5
Task_06,Standard (T=0.5),0.654 ± 0.093,0.652 ± 0.094,0.596 ± 0.103,0.705 ± 0.110,5
Task_07,Standard (T=0.5),0.648 ± 0.118,0.642 ± 0.120,0.514 ± 0.121,0.767 ± 0.128,5
Task_02,Standard (T=0.5),0.639 ± 0.082,0.605 ± 0.143,0.533 ± 0.276,0.744 ± 0.151,5
Task_03,Standard (T=0.5),0.631 ± 0.080,0.627 ± 0.077,0.542 ± 0.052,0.709 ± 0.129,5
Task_01,Standard (T=0.5),0.629 ± 0.065,0.622 ± 0.061,0.547 ± 0.085,0.709 ± 0.169,5
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_07,Standard (T=0.5),0.628 ± 0.086,0.598 ± 0.106,0.567 ± 0.303,0.689 ± 0.242,5
Task_03,Standard (T=0.5),0.621 ± 0.106,0.618 ± 0.102,0.587 ± 0.109,0.651 ± 0.172,5
multimodal_text_bert-base-italian-xxl-cased_Task_03,Standard (T=0.5),0.619 ± 0.048,0.608 ± 0.040,0.480 ± 0.064,0.749 ± 0.150,5
Task_07,Standard (T=0.5),0.617 ± 0.097,0.605 ± 0.107,0.668 ± 0.233,0.571 ± 0.124,5
Task_05,Standard (T=0.5),0.614 ± 0.025,0.596 ± 0.023,0.417 ± 0.100,0.782 ± 0.100,5
Task_04,Standard (T=0.5),0.614 ± 0.086,0.598 ± 0.093,0.588 ± 0.211,0.633 ± 0.215,5
Task_04,Standard (T=0.5),0.614 ± 0.078,0.547 ± 0.148,0.374 ± 0.325,0.820 ± 0.160,5
Task_07,Standard (T=0.5),0.605 ± 0.060,0.602 ± 0.058,0.536 ± 0.061,0.667 ± 0.117,5
Task_05,Standard (T=0.5),0.595 ± 0.091,0.587 ± 0.095,0.591 ± 0.211,0.605 ± 0.115,5
Task_05,Standard (T=0.5),0.594 ± 0.084,0.585 ± 0.096,0.540 ± 0.195,0.645 ± 0.085,5
multimodal_text_umberto-commoncrawl-cased-v1_Task_07,Standard (T=0.5),0.587 ± 0.108,0.578 ± 0.106,0.678 ± 0.187,0.513 ± 0.166,5
Task_05,Standard (T=0.5),0.584 ± 0.048,0.508 ± 0.117,0.289 ± 0.276,0.840 ± 0.162,5
Task_07,Standard (T=0.5),0.561 ± 0.080,0.510 ± 0.132,0.627 ± 0.271,0.511 ± 0.320,5
Task_03,Standard (T=0.5),0.558 ± 0.076,0.551 ± 0.077,0.518 ± 0.142,0.591 ± 0.135,5
Task_01,Standard (T=0.5),0.555 ± 0.102,0.451 ± 0.162,0.589 ± 0.378,0.520 ± 0.449,5
Task_02,Standard (T=0.5),0.546 ± 0.063,0.536 ± 0.069,0.500 ± 0.149,0.593 ± 0.152,5
Task_03,Standard (T=0.5),0.538 ± 0.107,0.529 ± 0.104,0.478 ± 0.083,0.593 ± 0.226,5
Task_02,Standard (T=0.5),0.536 ± 0.088,0.531 ± 0.088,0.540 ± 0.183,0.531 ± 0.086,5
Task_05,Standard (T=0.5),0.509 ± 0.036,0.345 ± 0.040,0.200 ± 0.400,0.800 ± 0.400,5
Task_02,Standard (T=0.5),0.494 ± 0.030,0.360 ± 0.075,0.680 ± 0.412,0.320 ± 0.412,5
Task_03,Standard (T=0.5),0.454 ± 0.053,0.347 ± 0.051,0.511 ± 0.413,0.413 ± 0.393,5
Task_03,Standard (T=0.5),0.378 ± 0.122,0.304 ± 0.051,0.222 ± 0.211,0.520 ± 0.397,5
