Model,Accuracy,F1-Score,Sensitivity,Specificity
COMBINED_Task_01-Task_02_prova2,0.835 ± 0.038,0.832 ± 0.039,0.978 ± 0.044,0.705 ± 0.064
multimodal_text_bert-base-italian-xxl-cased_Task_01,0.814 ± 0.086,0.812 ± 0.086,0.829 ± 0.126,0.804 ± 0.142
multimodal_text_bert-base-italian-xxl-cased_Task_02,0.792 ± 0.106,0.787 ± 0.109,0.742 ± 0.141,0.840 ± 0.185
multimodal_text_umberto-commoncrawl-cased-v1_Task_01,0.783 ± 0.054,0.780 ± 0.055,0.738 ± 0.115,0.820 ± 0.098
multimodal_text_umberto-commoncrawl-cased-v1_Task_02,0.782 ± 0.072,0.782 ± 0.072,0.760 ± 0.085,0.802 ± 0.066
COMBINED_Task_01-Task_02_prova1,0.782 ± 0.086,0.775 ± 0.093,0.911 ± 0.083,0.662 ± 0.177
multimodal_text_umberto-commoncrawl-cased-v1_Task_03,0.711 ± 0.027,0.701 ± 0.032,0.658 ± 0.170,0.765 ± 0.173
multimodal_text_umberto-commoncrawl-cased-v1_Task_04,0.701 ± 0.051,0.689 ± 0.061,0.611 ± 0.199,0.789 ± 0.130
multimodal_text_umberto-commoncrawl-cased-v1_Task_05,0.699 ± 0.080,0.693 ± 0.081,0.613 ± 0.128,0.782 ± 0.148
multimodal_text_umberto-commoncrawl-cased-v1_Task_06,0.691 ± 0.034,0.689 ± 0.034,0.718 ± 0.111,0.665 ± 0.054
multimodal_text_bert-base-italian-xxl-cased_Task_04,0.680 ± 0.106,0.673 ± 0.103,0.609 ± 0.086,0.751 ± 0.235
multimodal_text_bert-base-italian-xxl-cased_Task_05,0.659 ± 0.095,0.648 ± 0.096,0.502 ± 0.120,0.800 ± 0.141
multimodal_text_bert-base-italian-xxl-cased_Task_03,0.619 ± 0.048,0.608 ± 0.040,0.480 ± 0.064,0.749 ± 0.150
multimodal_text_umberto-commoncrawl-cased-v1_Task_07,0.587 ± 0.108,0.578 ± 0.106,0.678 ± 0.187,0.513 ± 0.166
