Group,Model,Accuracy (avg),F1-Score (avg),Sensitivity (avg)
0_Text_Baseline,multimodal_text_bert-base-italian-xxl-cased_Task_01,0.814,0.815,0.826
0_Text_Baseline,multimodal_text_bert-base-italian-xxl-cased_Task_02,0.794,0.793,0.739
0_Text_Baseline,multimodal_text_umberto-commoncrawl-cased-v1_Task_01,0.784,0.783,0.739
0_Text_Baseline,multimodal_text_umberto-commoncrawl-cased-v1_Task_02,0.784,0.783,0.761
0_Text_Baseline,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_02,0.773,0.773,0.783
0_Text_Baseline,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_01,0.773,0.772,0.717
0_Text_Baseline,multimodal_text_umberto-commoncrawl-cased-v1_Task_03,0.711,0.710,0.652
0_Text_Baseline,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_05,0.711,0.705,0.565
0_Text_Baseline,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_03,0.701,0.698,0.609
0_Text_Baseline,multimodal_text_umberto-commoncrawl-cased-v1_Task_04,0.701,0.698,0.609
0_Text_Baseline,multimodal_text_umberto-commoncrawl-cased-v1_Task_05,0.701,0.698,0.609
0_Text_Baseline,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_06,0.701,0.699,0.630
0_Text_Baseline,multimodal_text_umberto-commoncrawl-cased-v1_Task_06,0.691,0.691,0.717
0_Text_Baseline,multimodal_text_bert-base-italian-xxl-cased_Task_04,0.680,0.679,0.609
0_Text_Baseline,multimodal_text_bert-base-italian-xxl-cased_Task_05,0.660,0.651,0.500
0_Text_Baseline,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_04,0.660,0.660,0.652
0_Text_Baseline,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_07,0.629,0.627,0.565
0_Text_Baseline,multimodal_text_bert-base-italian-xxl-cased_Task_03,0.619,0.611,0.478
0_Text_Baseline,multimodal_text_umberto-commoncrawl-cased-v1_Task_07,0.588,0.585,0.674
1_Baseline_Tabular,Task_01,0.784,0.783,0.761
1_Baseline_Tabular,Task_04,0.760,0.761,0.756
1_Baseline_Tabular,Task_06,0.729,0.729,0.756
1_Baseline_Tabular,Task_07,0.719,0.719,0.733
1_Baseline_Tabular,Task_06,0.708,0.703,0.578
1_Baseline_Tabular,Task_07,0.708,0.707,0.644
1_Baseline_Tabular,Task_06,0.708,0.701,0.556
1_Baseline_Tabular,Task_01,0.701,0.699,0.630
1_Baseline_Tabular,Task_02,0.680,0.678,0.587
1_Baseline_Tabular,Task_02,0.680,0.680,0.630
1_Baseline_Tabular,Task_04,0.677,0.674,0.578
1_Baseline_Tabular,Task_04,0.677,0.674,0.578
1_Baseline_Tabular,Task_01,0.670,0.670,0.674
1_Baseline_Tabular,Task_04,0.667,0.667,0.644
1_Baseline_Tabular,Task_06,0.667,0.653,0.467
1_Baseline_Tabular,Task_05,0.667,0.665,0.600
1_Baseline_Tabular,Task_01,0.660,0.659,0.609
1_Baseline_Tabular,Task_06,0.656,0.651,0.533
1_Baseline_Tabular,Task_06,0.656,0.655,0.600
1_Baseline_Tabular,Task_07,0.646,0.640,0.511
1_Baseline_Tabular,Task_02,0.639,0.634,0.522
1_Baseline_Tabular,Task_03,0.629,0.626,0.543
1_Baseline_Tabular,Task_01,0.629,0.626,0.543
1_Baseline_Tabular,Task_03,0.619,0.618,0.587
1_Baseline_Tabular,Task_07,0.615,0.614,0.667
1_Baseline_Tabular,Task_04,0.615,0.615,0.600
1_Baseline_Tabular,Task_04,0.615,0.593,0.378
1_Baseline_Tabular,Task_05,0.615,0.601,0.422
1_Baseline_Tabular,Task_07,0.604,0.602,0.533
1_Baseline_Tabular,Task_05,0.594,0.593,0.533
1_Baseline_Tabular,Task_05,0.594,0.594,0.578
1_Baseline_Tabular,Task_05,0.583,0.547,0.289
1_Baseline_Tabular,Task_07,0.562,0.562,0.622
1_Baseline_Tabular,Task_03,0.557,0.556,0.522
1_Baseline_Tabular,Task_01,0.557,0.557,0.587
1_Baseline_Tabular,Task_02,0.546,0.546,0.500
1_Baseline_Tabular,Task_02,0.536,0.536,0.543
1_Baseline_Tabular,Task_03,0.536,0.535,0.478
1_Baseline_Tabular,Task_05,0.510,0.457,0.178
1_Baseline_Tabular,Task_02,0.495,0.480,0.674
1_Baseline_Tabular,Task_03,0.454,0.453,0.500
1_Baseline_Tabular,Task_03,0.381,0.368,0.217
3_SOTA_Combined,COMBINED_Task_01-Task_02_prova2,0.814,0.815,0.815
3_SOTA_Combined,COMBINED_Task_01-Task_02_prova1,0.758,0.757,0.717
4_SOTA_CrossDataset,cross_dataset_results,0.789,0.789,0.771
4_SOTA_CrossDataset,ensemble_results,0.742,0.731,0.543
4_SOTA_CrossDataset,cross_dataset_results,0.701,0.679,0.435
